popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,year,explicit
36,0.727,0.725,-10.0,0.0424,0.0439,0.709,0.178,0.69,126.005,228591,edm,2019,0
40,0.822,0.762,-6.198,0.0574,0.00103,0.039,0.333,0.767,125.0,200940,edm,2019,0
38,0.682,0.862,-2.96,0.0364,0.00578,1.09e-05,0.0761,0.227,127.978,221250,edm,2019,0
19,0.637,0.935,-3.909,0.0486,0.00198,0.367,0.18,0.428,127.947,168750,edm,2018,0
39,0.591,0.702,-5.59,0.0289,0.225,0.0,0.414,0.501,104.003,217653,edm,2019,0
0,0.801,0.873,-7.165,0.0643,0.000364,0.898,0.0911,0.366,125.004,317728,edm,2018,0
75,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,edm,2015,0
0,0.384,0.886,-6.349,0.0591,0.000768,0.0561,0.0721,0.122,127.993,198750,edm,2013,0
39,0.71,0.964,-1.257,0.0502,0.0314,0.0145,0.294,0.72,128.068,163000,edm,2016,0
2,0.715,0.8,-5.488,0.0555,0.0104,0.0,0.319,0.264,100.004,219400,edm,2016,0
4,0.611,0.58,-7.814,0.0408,0.00203,0.00517,0.0754,0.425,129.347,240640,edm,2007,0
3,0.654,0.822,-4.556,0.0396,0.0125,1.74e-06,0.134,0.478,127.94,210938,edm,2015,0
27,0.574,0.519,-14.652,0.0768,0.718,0.471,0.166,0.26,120.031,160000,edm,2019,0
36,0.7,0.316,-12.711,0.186,0.843,0.248,0.0818,0.411,149.969,191853,edm,2019,0
0,0.666,0.948,-2.776,0.0638,0.137,0.0,0.192,0.523,100.996,211931,edm,2016,0
14,0.569,0.98,-2.69,0.0461,0.000278,0.00214,0.655,0.298,127.975,147187,edm,2018,0
17,0.476,0.687,-3.172,0.0653,0.69,0.0,0.315,0.261,127.945,234375,edm,2019,0
31,0.773,0.491,-12.333,0.0664,0.00178,0.902,0.0616,0.561,122.993,414812,edm,2015,0
32,0.473,0.932,-3.991,0.167,0.293,0.102,0.079,0.657,123.903,167947,edm,2018,0
18,0.723,0.466,-10.442,0.0637,0.0139,0.253,0.0777,0.781,128.028,202500,edm,2018,0
91,0.598,0.526,-8.659,0.0415,0.129,0.0,0.14,0.529,123.935,168387,edm,2019,0
41,0.724,0.813,-4.447,0.0346,0.0327,0.0104,0.0497,0.51,125.997,173338,edm,2019,0
61,0.554,0.762,-4.808,0.0895,0.00197,0.17,0.352,0.421,126.132,139048,edm,2019,0
0,0.6,0.9,-6.01,0.0482,0.00521,0.821,0.121,0.227,127.998,178594,edm,2014,0
14,0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428,edm,2015,0
62,0.684,0.612,-4.468,0.365,0.327,0.135,0.352,0.344,123.967,264194,edm,2017,0
31,0.631,0.937,-5.852,0.289,0.00124,0.489,0.334,0.33,160.083,232262,edm,2019,0
58,0.571,0.903,-2.184,0.214,0.0615,1.23e-06,0.186,0.477,127.951,206320,edm,2016,0
45,0.746,0.768,-5.401,0.053,0.00598,0.779,0.105,0.302,125.038,180187,edm,2017,0
42,0.428,0.621,-5.675,0.0339,0.014,0.0,0.0906,0.271,90.025,234667,edm,2019,0
30,0.704,0.892,-4.757,0.0411,0.0284,0.231,0.615,0.216,119.998,195954,edm,2019,0
43,0.71,0.864,-4.924,0.0757,0.00166,0.0365,0.036,0.114,127.986,352760,edm,2013,0
13,0.501,0.839,-4.846,0.138,0.00739,0.0,0.463,0.341,127.985,185859,edm,2019,0
11,0.713,0.975,-3.538,0.168,0.105,0.00124,0.628,0.415,124.977,203530,edm,2019,0
78,0.774,0.756,-4.995,0.0389,0.0423,0.0,0.305,0.931,144.032,224840,edm,2014,0
20,0.75,0.561,-12.669,0.235,0.899,0.264,0.0799,0.698,85.039,138000,edm,2020,0
6,0.788,0.902,-8.131,0.0446,0.02,0.923,0.101,0.0438,122.009,417111,edm,2019,0
46,0.705,0.925,-4.894,0.104,0.00451,0.535,0.072,0.103,125.961,222857,edm,2019,0
24,0.551,0.973,-5.175,0.0368,4.08e-05,0.885,0.0979,0.411,150.001,182500,edm,2019,0
57,0.425,0.771,-4.293,0.0629,0.0312,0.0,0.165,0.213,142.034,150528,edm,2018,0
19,0.77,0.866,-3.299,0.142,0.0055,0.00155,0.703,0.716,128.028,138287,edm,2019,0
59,0.717,0.82,-4.294,0.0447,0.0335,0.00059,0.0348,0.351,125.987,189524,edm,2018,0
67,0.825,0.841,-6.433,0.135,0.0906,0.00411,0.258,0.616,126.026,184582,edm,2019,0
43,0.601,0.887,-2.52,0.0629,0.0232,4.67e-05,0.148,0.527,128.09,187969,edm,2013,0
40,0.858,0.943,-4.358,0.0663,0.000759,0.389,0.11,0.716,125.988,171429,edm,2019,0
13,0.828,0.354,-7.579,0.137,0.00343,0.89,0.137,0.334,128.006,350638,edm,2012,0
14,0.76,0.964,-5.844,0.0576,0.00182,0.7,0.0974,0.641,125.0,248036,edm,2018,0
36,0.674,0.864,-6.322,0.211,0.0399,0.0259,0.2,0.63,102.016,188697,edm,2019,0
53,0.732,0.647,-5.571,0.03,0.00705,0.00995,0.335,0.425,125.014,154828,edm,2019,0
51,0.633,0.856,-4.934,0.0736,0.00375,0.0,0.136,0.825,128.013,210480,edm,2015,0
0,0.676,0.774,-4.915,0.0561,9.56e-05,0.834,0.345,0.352,129.969,323849,edm,2014,0
23,0.719,0.933,-4.274,0.0606,0.176,0.00182,0.295,0.373,125.088,214223,edm,2016,0
16,0.273,0.454,-13.214,0.0594,0.985,0.95,0.275,0.04,132.501,33750,edm,2018,0
0,0.52,0.958,-2.671,0.474,0.00407,0.169,0.164,0.256,127.907,176250,edm,2016,0
28,0.637,0.928,-4.263,0.0634,0.00575,0.848,0.0434,0.68,129.038,225116,edm,2018,0
56,0.549,0.963,-1.182,0.0594,0.0375,7.47e-06,0.429,0.422,128.051,159375,edm,2018,0
73,0.581,0.717,-4.433,0.0318,0.0298,0.000186,0.243,0.316,107.884,236440,edm,2010,0
65,0.575,0.808,-4.578,0.0439,0.0446,0.0,0.0693,0.232,127.922,179531,edm,2019,0
62,0.609,0.801,-4.417,0.034,0.0137,0.00349,0.127,0.407,129.99,243413,edm,2012,0
49,0.682,0.838,-5.698,0.0453,0.053,0.0,0.336,0.807,109.947,197480,edm,2019,0
37,0.552,0.978,-4.398,0.0519,0.00129,0.102,0.234,0.308,125.993,177271,edm,2019,0
25,0.349,0.969,-2.468,0.0753,0.00553,0.0346,0.355,0.405,132.013,181590,edm,2016,0
0,0.602,0.928,-4.85,0.105,0.0194,0.00131,0.717,0.22,128.022,384000,edm,2012,0
52,0.492,0.801,-4.204,0.0567,0.101,0.0,0.0798,0.329,150.036,185265,edm,2018,0
43,0.328,0.97,-3.739,0.151,5.18e-05,0.476,0.0648,0.522,194.976,302742,edm,2014,0
0,0.75,0.745,-4.803,0.0335,0.0229,3.44e-06,0.22,0.43,140.047,219939,edm,2017,0
0,0.562,0.831,-7.742,0.0451,0.0105,0.00119,0.271,0.357,125.003,215015,edm,2016,0
66,0.33,0.793,-4.628,0.155,0.0618,0.0,0.383,0.279,180.162,184000,edm,2019,0
16,0.844,0.65,-8.446,0.175,0.12,0.212,0.0664,0.292,125.967,367733,edm,2009,0
48,0.607,0.949,-4.725,0.197,0.0992,7.07e-05,0.117,0.26,127.805,171562,edm,2018,0
41,0.588,0.869,-7.516,0.0589,0.00415,0.752,0.696,0.225,128.028,213984,edm,2019,0
28,0.766,0.982,-4.285,0.0986,0.0419,0.64,0.343,0.825,122.023,189836,edm,2019,0
0,0.824,0.664,-5.107,0.0672,0.00046,0.248,0.062,0.698,128.019,360427,edm,2009,0
51,0.672,0.628,-7.203,0.0856,0.192,0.587,0.333,0.159,60.045,185005,edm,2019,0
64,0.705,0.825,-2.927,0.215,0.00933,0.00511,0.221,0.269,129.855,202615,edm,2019,0
44,0.532,0.885,-7.869,0.04,0.0069,0.0404,0.384,0.216,150.009,168471,edm,2019,0
56,0.608,0.952,-4.296,0.0506,0.058,1.51e-05,0.508,0.564,122.132,185558,edm,2019,0
58,0.802,0.833,-3.986,0.339,0.00351,0.00169,0.36,0.452,132.006,250000,edm,2019,0
44,0.818,0.484,-9.438,0.156,0.703,0.00509,0.0858,0.385,121.958,147354,edm,2018,0
45,0.527,0.845,-3.721,0.121,0.0335,0.000127,0.144,0.554,128.023,214326,edm,2015,0
49,0.69,0.881,-4.552,0.0372,0.000287,0.105,0.322,0.294,128.016,175312,edm,2020,0
55,0.616,0.834,-4.637,0.0702,0.0291,0.0323,0.103,0.145,139.89,154714,edm,2020,0
0,0.729,0.933,-5.667,0.0571,0.00366,0.509,0.439,0.0459,127.993,474961,edm,2014,0
27,0.867,0.922,-4.597,0.12,0.0209,0.389,0.461,0.159,135.056,206222,edm,2020,0
68,0.909,0.392,-6.221,0.0652,0.278,1.77e-06,0.106,0.61,127.052,154961,edm,2019,0
30,0.669,0.785,-4.305,0.0369,0.328,0.0,0.177,0.567,105.037,188130,edm,2017,0
